"Name","Chromosome","Region","Max group mean","Log? fold change","Fold change","P-value","FDR p-value","Bonferroni"
"ENST00000605106","ENST00000605106","1..1119","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000436333","ENST00000436333","1..884","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000356432","ENST00000356432","1..1205","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000475280","ENST00000475280","1..510","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000219431","ENST00000219431","1..1193","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397817","ENST00000397817","1..1028","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000463178","ENST00000463178","1..2913","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000445810","ENST00000445810","1..2980","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000428323","ENST00000428323","1..2783","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000399957","ENST00000399957","1..2811","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000405960","ENST00000405960","1..2880","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000464069","ENST00000464069","1..551","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000473674","ENST00000473674","1..855","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000483663","ENST00000483663","1..932","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000457916","ENST00000457916","1..936","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000422814","ENST00000422814","1..512","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000468260","ENST00000468260","1..922","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000456528","ENST00000456528","1..794","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000419636","ENST00000419636","1..616","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000399953","ENST00000399953","1..3008","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000399951","ENST00000399951","1..2744","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602551","ENST00000602551","1..1171","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000458121","ENST00000458121","1..1260","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000219255","ENST00000219255","1..1248","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602727","ENST00000602727","1..1281","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000357084","ENST00000357084","1..3532","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000395503","ENST00000395503","1..3536","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563975","ENST00000563975","1..545","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562185","ENST00000562185","1..576","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000536376","ENST00000536376","1..3130","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564732","ENST00000564732","1..831","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565042","ENST00000565042","1..239","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564470","ENST00000564470","1..467","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564112","ENST00000564112","1..195","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000252951","ENST00000252951","1..755","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000472539","ENST00000472539","1..592","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000496585","ENST00000496585","1..592","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000356815","ENST00000356815","1..506","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000251595","ENST00000251595","1..605","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397806","ENST00000397806","1..513","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000482565","ENST00000482565","1..640","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000484216","ENST00000484216","1..403","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000320868","ENST00000320868","1..577","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000472694","ENST00000472694","1..674","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397797","ENST00000397797","1..504","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000487791","ENST00000487791","1..410","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000243878","ENST00000243878","1..1579","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602942","ENST00000602942","1..1253","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602644","ENST00000602644","1..1353","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602415","ENST00000602415","1..735","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602642","ENST00000602642","1..468","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602409","ENST00000602409","1..266","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602531","ENST00000602531","1..888","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000199708","ENST00000199708","1..536","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000459925","ENST00000459925","1..1719","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000403458","ENST00000403458","1..1267","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602974","ENST00000602974","1..463","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000445068","ENST00000445068","1..1314","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602365","ENST00000602365","1..677","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602987","ENST00000602987","1..537","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000426094","ENST00000426094","1..2737","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000293872","ENST00000293872","1..1456","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000337351","ENST00000337351","1..2097","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397783","ENST00000397783","1..1504","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000468732","ENST00000468732","1..573","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000429378","ENST00000429378","1..721","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000490762","ENST00000490762","1..2643","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000464711","ENST00000464711","1..2134","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000442701","ENST00000442701","1..423","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397780","ENST00000397780","1..1335","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000419516","ENST00000419516","1..1211","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000495349","ENST00000495349","1..1006","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000418978","ENST00000418978","1..989","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000430864","ENST00000430864","1..695","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000443357","ENST00000443357","1..833","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000494366","ENST00000494366","1..668","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000469109","ENST00000469109","1..950","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000428363","ENST00000428363","1..498","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000467552","ENST00000467552","1..569","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000494545","ENST00000494545","1..725","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602377","ENST00000602377","1..1991","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000268797","ENST00000268797","1..2126","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602522","ENST00000602522","1..2951","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602627","ENST00000602627","1..402","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602496","ENST00000602496","1..2029","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602279","ENST00000602279","1..2942","4.6204065281","-2.9482796782","-7.7182815834","0.3690130937","0.9991606977","1"
"ENST00000602855","ENST00000602855","1..819","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000317506","ENST00000317506","1..5305","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000448631","ENST00000448631","1..2232","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602506","ENST00000602506","1..2756","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602677","ENST00000602677","1..2374","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602525","ENST00000602525","1..1353","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602638","ENST00000602638","1..1248","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602815","ENST00000602815","1..577","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000602887","ENST00000602887","1..683","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000411657","ENST00000411657","1..2262","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000536251","ENST00000536251","1..2756","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000425512","ENST00000425512","1..1248","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000357573","ENST00000357573","1..2175","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000358201","ENST00000358201","1..2821","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000544477","ENST00000544477","1..1645","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562590","ENST00000562590","1..2211","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568703","ENST00000568703","1..1045","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567483","ENST00000567483","1..841","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561501","ENST00000561501","1..538","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000566762","ENST00000566762","1..545","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561803","ENST00000561803","1..593","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564473","ENST00000564473","1..553","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562475","ENST00000562475","1..560","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000570030","ENST00000570030","1..583","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564579","ENST00000564579","1..557","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563577","ENST00000563577","1..589","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000399932","ENST00000399932","1..3213","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000301679","ENST00000301679","1..1936","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000419173","ENST00000419173","1..583","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000426695","ENST00000426695","1..374","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000438220","ENST00000438220","1..554","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000447499","ENST00000447499","1..432","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000453430","ENST00000453430","1..984","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000449945","ENST00000449945","1..887","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000420046","ENST00000420046","1..1006","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000301678","ENST00000301678","1..2901","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000420500","ENST00000420500","1..459","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000417499","ENST00000417499","1..583","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000496874","ENST00000496874","1..598","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000421000","ENST00000421000","1..739","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000468354","ENST00000468354","1..462","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000424016","ENST00000424016","1..646","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000442458","ENST00000442458","1..2263","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000450082","ENST00000450082","1..1767","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000600536","ENST00000600536","1..2242","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397770","ENST00000397770","1..2390","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000168869","ENST00000168869","1..2236","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000316163","ENST00000316163","1..2376","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000477143","ENST00000477143","1..4294","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000359740","ENST00000359740","1..1371","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000481672","ENST00000481672","1..772","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000493449","ENST00000493449","1..2104","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000472466","ENST00000472466","1..361","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000397768","ENST00000397768","1..918","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000431291","ENST00000431291","1..808","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000415766","ENST00000415766","1..2338","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000466164","ENST00000466164","1..2228","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568990","ENST00000568990","1..2517","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000487120","ENST00000487120","1..2159","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565339","ENST00000565339","1..1818","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563363","ENST00000563363","1..619","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561639","ENST00000561639","1..2258","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567852","ENST00000567852","1..834","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565148","ENST00000565148","1..555","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000388833","ENST00000388833","1..2429","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562633","ENST00000562633","1..474","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561654","ENST00000561654","1..547","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000569504","ENST00000569504","1..2009","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000431934","ENST00000431934","1..1284","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562321","ENST00000562321","1..475","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565558","ENST00000565558","1..816","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000324662","ENST00000324662","1..1932","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565089","ENST00000565089","1..2322","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567541","ENST00000567541","1..1707","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000566890","ENST00000566890","1..590","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567368","ENST00000567368","1..847","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000538922","ENST00000538922","1..1957","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000412541","ENST00000412541","1..339","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000435035","ENST00000435035","1..519","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000464609","ENST00000464609","1..326","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000447871","ENST00000447871","1..765","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000219409","ENST00000219409","1..942","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000414650","ENST00000414650","1..680","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000477621","ENST00000477621","1..1272","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564978","ENST00000564978","1..2350","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000320805","ENST00000320805","1..4569","2.2938110244","0.3663234581","1.2890636114","0.8411066979","0.9991606977","1"
"ENST00000565919","ENST00000565919","1..576","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565752","ENST00000565752","1..823","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562977","ENST00000562977","1..638","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568998","ENST00000568998","1..720","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568148","ENST00000568148","1..1157","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000219406","ENST00000219406","1..1698","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000467212","ENST00000467212","1..1750","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000404312","ENST00000404312","1..1575","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000456379","ENST00000456379","1..680","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000482665","ENST00000482665","1..1956","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000462950","ENST00000462950","1..451","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000435833","ENST00000435833","1..567","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000569862","ENST00000569862","1..2957","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562787","ENST00000562787","1..2345","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562513","ENST00000562513","1..1669","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000436104","ENST00000436104","1..1990","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565157","ENST00000565157","1..2133","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568495","ENST00000568495","1..1098","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000574569","ENST00000574569","1..897","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000563885","ENST00000563885","1..1931","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564817","ENST00000564817","1..1638","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000566758","ENST00000566758","1..858","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564128","ENST00000564128","1..2673","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562947","ENST00000562947","1..797","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562462","ENST00000562462","1..1005","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565713","ENST00000565713","1..822","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568069","ENST00000568069","1..507","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564538","ENST00000564538","1..501","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000566067","ENST00000566067","1..631","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562338","ENST00000562338","1..583","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000562483","ENST00000562483","1..652","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000568564","ENST00000568564","1..537","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000561593","ENST00000561593","1..673","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000565114","ENST00000565114","1..633","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000567985","ENST00000567985","1..575","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000569094","ENST00000569094","1..561","0","NaN","NaN","NaN","NaN","NaN"
"ENST00000564346","ENST00000564346","1..571","0","NaN","NaN","NaN","NaN","NaN"
